Deck size,Moves,Variant,Rank1,Rank2,Winner
20,28,0,49,76,0
20,64,0,46,77,1
20,12,0,35,87,0
20,36,0,63,59,1
20,44,0,53,69,1
20,24,0,61,61,0
20,74,0,65,59,1
20,16,0,50,74,1
20,92,0,63,60,1
20,20,0,57,67,0
20,66,0,48,76,0
20,48,0,66,59,1
20,58,0,65,57,0
20,32,0,64,60,0
20,24,0,47,75,0
20,52,0,53,70,0
20,20,0,51,71,0
20,16,0,30,94,0
20,64,0,57,67,0
20,28,0,61,63,0
20,34,0,56,67,0
20,42,0,63,61,0
20,14,0,95,29,1
20,140,0,71,52,1
20,28,0,69,53,1
20,14,0,85,40,1
20,22,0,61,63,1
20,32,0,67,56,1
20,14,0,89,33,1
20,12,0,89,34,1
20,12,0,28,95,0
20,28,0,66,59,0
20,74,0,65,58,0
20,22,0,48,76,0
20,28,0,69,56,1
20,46,0,83,40,1
20,120,0,71,51,1
20,16,0,45,80,0
20,24,0,90,33,1
20,20,0,56,67,1
20,30,0,81,43,0
20,28,0,48,75,0
20,50,0,62,62,0
20,34,0,71,53,1
20,20,0,66,58,1
20,12,0,80,43,1
20,14,0,97,26,1
20,38,0,79,45,1
20,26,0,48,77,0
20,60,0,47,78,0
20,28,0,60,64,1
20,28,0,44,79,1
20,64,0,60,64,0
20,56,0,57,65,0
20,40,0,86,38,0
20,12,0,84,40,1
20,64,0,53,71,1
20,20,0,42,81,0
20,18,0,49,75,1
20,22,0,57,65,0
20,68,0,52,72,0
20,26,0,47,77,1
20,32,0,63,62,0
20,72,0,61,63,0
20,24,0,72,53,1
20,26,0,78,45,1
20,22,0,45,79,1
20,24,0,61,62,0
20,14,0,37,85,0
20,88,0,69,53,0
20,30,0,82,42,0
20,28,0,71,53,1
20,26,0,66,58,1
20,12,0,71,53,1
20,26,0,67,56,1
20,20,0,88,36,1
20,28,0,53,70,0
20,12,0,60,63,0
20,22,0,45,77,0
20,70,0,67,56,1
20,24,0,76,48,1
20,56,0,74,50,0
20,72,0,71,52,1
20,62,0,77,46,1
20,62,0,75,48,1
20,40,0,52,71,0
20,14,0,87,36,1
20,72,0,37,85,1
20,36,0,57,65,1
20,114,0,57,67,1
20,32,0,69,53,1
20,38,0,69,53,1
20,30,0,44,81,1
20,24,0,69,53,0
20,50,0,54,70,0
20,30,0,45,77,0
20,52,0,50,74,0
20,50,0,72,53,0
20,36,0,68,55,1
20,38,0,53,71,1
20,16,0,64,60,1
20,12,0,50,73,0
20,20,0,65,59,1
20,28,0,55,69,0
20,18,0,77,45,1
20,90,0,65,58,1
20,14,0,79,43,1
20,42,0,77,48,1
20,28,0,61,62,0
20,44,0,66,58,0
20,22,0,67,58,1
20,20,0,55,69,0
20,42,0,63,61,0
20,32,0,67,55,1
20,58,0,74,49,0
20,62,0,71,51,0
20,16,0,56,67,0
20,26,0,62,61,0
20,72,0,44,79,1
20,82,0,58,66,1
20,26,0,45,79,0
20,40,0,59,65,1
20,42,0,35,88,0
20,16,0,81,41,1
20,24,0,61,61,0
20,26,0,63,60,1
20,22,0,59,65,0
20,28,0,52,72,1
20,28,0,58,66,1
20,48,0,54,69,0
20,12,0,81,42,1
20,24,0,59,64,0
20,40,0,54,70,1
20,12,0,31,92,0
20,30,0,79,45,0
20,34,0,63,61,0
20,22,0,61,63,1
20,46,0,69,55,0
20,50,0,42,81,0
20,120,0,64,59,0
20,18,0,91,32,1
20,16,0,55,67,1
20,32,0,75,47,1
20,38,0,49,73,0
20,26,0,87,37,1
20,24,0,46,79,0
20,22,0,45,79,0
20,54,0,76,49,0
20,32,0,58,66,1
20,38,0,79,43,0
20,20,0,48,75,0
20,58,0,68,56,0
20,58,0,79,45,1
20,18,0,75,48,1
20,34,0,85,38,0
20,28,0,61,63,1
20,34,0,36,88,0
20,40,0,83,41,0
20,12,0,86,37,1
20,44,0,55,68,0
20,18,0,59,65,1
20,24,0,60,63,0
20,34,0,77,45,1
20,88,0,65,57,1
20,54,0,47,76,0
20,70,0,43,79,1
20,12,0,46,77,0
20,100,0,50,74,1
20,24,0,83,39,1
20,34,0,53,72,0
20,136,0,69,56,0
20,36,0,55,69,0
20,124,0,71,53,1
20,38,0,89,34,0
20,26,0,70,53,0
20,52,0,60,63,1
20,44,0,51,72,0
20,170,0,82,41,1
20,64,0,57,66,1
20,18,0,89,34,1
20,50,0,66,59,1
20,50,0,83,41,1
20,20,0,72,52,1
20,96,0,61,64,0
20,36,0,49,74,0
20,54,0,64,59,0
20,34,0,69,54,1
20,84,0,71,52,0
20,72,0,56,69,0
20,24,0,31,93,0
20,54,0,38,85,1
20,60,0,57,65,0
20,24,0,52,72,0
20,36,0,63,61,1
20,38,0,57,66,1
20,108,0,57,67,0
20,20,0,83,40,1
20,22,0,71,53,1
20,24,0,55,67,0
20,40,0,69,55,1
20,22,0,69,53,1
20,20,0,37,88,0
20,52,0,47,75,0
20,94,0,77,45,1
20,14,0,77,47,1
20,12,0,53,70,0
20,22,0,53,69,0
20,42,0,67,55,1
20,24,0,59,66,0
20,12,0,71,54,0
20,22,0,47,75,1
20,62,0,44,79,1
20,30,0,46,77,1
20,18,0,85,38,1
20,30,0,77,48,1
20,12,0,37,88,0
20,36,0,61,61,0
20,52,0,81,42,1
20,48,0,35,89,1
20,38,0,67,57,0
20,38,0,61,63,0
20,98,0,69,53,1
20,38,0,42,83,0
20,14,0,82,41,1
20,16,0,47,77,0
20,32,0,68,57,0
20,10,0,56,67,0
20,76,0,44,80,1
20,28,0,63,60,1
20,22,0,65,58,0
20,58,0,45,81,0
20,24,0,69,55,0
20,36,0,75,49,1
20,34,0,48,75,0
20,12,0,67,57,1
20,94,0,61,64,0
20,18,0,87,36,1
20,64,0,45,79,0
20,20,0,75,48,1
20,24,0,35,89,0
20,16,0,82,43,1
20,36,0,49,75,1
20,24,0,73,49,1
20,24,0,67,55,1
20,34,0,81,43,1
20,14,0,76,48,1
20,20,0,65,57,1
20,22,0,62,61,1
20,42,0,56,69,0
20,24,0,83,40,1
20,12,0,25,98,0
20,20,0,83,39,1
20,16,0,77,47,1
20,16,0,46,78,0
20,68,0,91,33,0
20,50,0,75,49,1
20,38,0,60,63,0
20,54,0,58,66,1
20,12,0,88,36,1
20,36,0,68,56,0
20,28,0,57,66,0
20,68,0,63,60,1
20,20,0,42,82,0
20,82,0,74,50,1
20,20,0,82,41,1
20,38,0,59,65,0
20,44,0,79,44,0
20,74,0,43,80,1
20,52,0,47,77,0
20,70,0,60,64,0
20,52,0,62,61,0
20,42,0,46,77,0
20,22,0,58,66,0
20,16,0,66,58,0
20,28,0,50,73,1
20,14,0,32,91,0
20,14,0,52,71,0
20,30,0,72,51,1
20,38,0,57,66,1
20,60,0,75,49,1
20,18,0,76,48,1
20,62,0,59,64,0
20,62,0,76,49,1
20,18,0,69,55,1
20,36,0,70,53,1
20,72,0,61,63,0
20,58,0,32,91,0
20,20,0,52,72,0
20,34,0,66,57,1
20,38,0,61,61,0
20,22,0,70,54,1
20,16,0,40,85,0
20,34,0,67,57,1
20,26,0,40,83,0
20,22,0,67,57,1
20,12,0,79,44,1
20,16,0,35,89,0
20,38,0,52,71,1
20,18,0,81,42,1
20,28,0,57,67,1
20,50,0,57,66,0
20,30,0,58,67,1
20,30,0,73,49,1
20,22,0,44,80,0
20,10,0,36,87,0
20,18,0,83,40,1
20,26,0,51,73,0
20,38,0,63,60,1
20,14,0,49,74,0
20,74,0,67,56,1
20,30,0,69,54,1
20,16,0,38,87,0
20,12,0,75,47,0
20,14,0,43,81,0
20,28,0,53,72,0
20,28,0,45,77,0
20,20,0,79,46,1
20,16,0,70,53,1
20,22,0,44,81,0
20,40,0,58,65,0
20,40,0,62,62,1
20,24,0,73,49,0
20,16,0,59,64,0
20,12,0,36,87,0
20,30,0,57,66,0
20,58,0,50,74,0
20,66,0,74,50,1
20,42,0,39,83,0
20,30,0,69,53,0
20,26,0,48,75,1
20,38,0,65,57,0
20,18,0,64,59,1
20,16,0,58,66,0
20,14,0,86,37,1
20,24,0,35,87,0
20,16,0,73,50,1
20,12,0,71,52,0
20,32,0,69,53,1
20,18,0,39,85,0
20,14,0,57,67,0
20,36,0,84,41,0
20,28,0,51,71,1
20,68,0,45,77,0
20,10,0,105,19,1
20,22,0,50,73,0
20,36,0,55,67,0
20,64,0,41,81,1
20,28,0,78,45,1
20,38,0,56,68,0
20,18,0,57,67,1
20,14,0,97,26,1
20,52,0,95,27,1
20,30,0,48,75,0
20,16,0,77,46,1
20,16,0,82,41,1
20,72,0,62,63,0
20,18,0,67,56,0
20,74,0,51,71,1
20,20,0,63,59,0
20,62,0,67,55,0
20,12,0,37,87,0
20,16,0,41,82,0
20,38,0,71,53,0
20,156,0,66,57,0
20,20,0,75,47,1
20,18,0,51,72,0
20,34,0,57,65,0
20,122,0,71,51,1
20,64,0,56,69,0
20,44,0,61,61,0
20,16,0,84,40,1
20,10,0,93,32,1
20,34,0,71,52,0
20,36,0,41,83,1
20,20,0,72,51,1
20,96,0,71,52,1
20,44,0,60,63,0
20,72,0,63,61,1
20,18,0,74,50,1
20,22,0,67,55,0
20,64,0,71,53,1
20,18,0,75,48,1
20,72,0,55,69,0
20,30,0,52,71,0
20,16,0,77,45,1
20,28,0,52,71,0
20,40,0,64,59,0
20,62,0,57,67,0
20,36,0,58,65,0
20,18,0,40,83,0
20,34,0,58,66,0
20,30,0,59,65,1
20,14,0,46,78,0
20,22,0,53,70,0
20,34,0,51,73,1
20,22,0,87,36,1
20,26,0,65,58,1
20,54,0,77,45,1
20,102,0,61,61,1
20,42,0,45,77,1
20,62,0,65,57,1
20,14,0,69,54,1
20,12,0,28,95,0
20,24,0,44,79,0
20,18,0,40,85,0
20,36,0,64,59,0
20,30,0,49,74,1
20,16,0,34,90,0
20,12,0,69,53,1
20,28,0,44,79,0
20,22,0,81,42,1
20,36,0,54,70,1
20,22,0,78,46,1
20,14,0,37,86,0
20,84,0,57,65,1
20,36,0,52,71,1
20,24,0,46,77,0
20,96,0,51,73,0
20,16,0,61,63,0
20,110,0,53,70,0
20,20,0,54,70,0
20,62,0,67,57,1
20,10,0,99,23,1
20,18,0,39,84,0
20,60,0,42,81,0
20,32,0,75,48,1
20,44,0,56,67,1
20,12,0,63,60,1
20,42,0,71,53,1
20,12,0,56,67,0
20,32,0,71,52,1
20,134,0,69,53,1
20,46,0,59,66,0
20,22,0,63,61,0
