Deck size,Moves,Variant,Rank1,Rank2,Winner
20,22,0,65,59,0
20,24,0,65,59,1
20,78,0,65,59,1
20,32,0,70,54,1
20,46,0,55,69,1
20,26,0,56,68,0
20,20,0,50,74,0
20,24,0,74,50,1
20,94,0,67,57,0
20,58,0,61,63,0
20,38,0,64,60,0
20,24,0,77,47,1
20,72,0,62,62,0
20,38,0,66,58,0
20,40,0,49,75,0
20,46,0,64,60,1
20,14,0,50,74,0
20,56,0,51,73,0
20,114,0,80,44,1
20,48,0,63,61,1
20,16,0,74,50,1
20,14,0,51,73,0
20,16,0,60,64,0
20,50,0,70,54,1
20,24,0,85,39,1
20,24,0,70,54,0
20,74,0,72,52,0
20,22,0,60,64,0
20,66,0,72,52,0
20,44,0,65,59,1
20,22,0,71,53,1
20,24,0,52,72,0
20,56,0,67,57,1
20,60,0,57,67,0
20,16,0,70,54,1
20,14,0,77,47,1
20,20,0,54,70,0
20,10,0,41,83,0
20,18,0,58,66,0
20,52,0,56,68,1
20,14,0,80,44,1
20,110,0,67,57,0
20,18,0,72,52,1
20,30,0,72,52,1
20,62,0,80,44,0
20,30,0,70,54,1
20,60,0,57,67,1
20,24,0,65,59,1
20,58,0,66,58,1
20,12,0,31,93,0
20,22,0,74,50,1
20,16,0,44,80,0
20,116,0,45,79,1
20,38,0,76,48,0
20,14,0,33,91,0
20,18,0,53,71,0
20,40,0,62,62,0
20,28,0,61,63,0
20,28,0,84,40,1
20,70,0,65,59,1
20,16,0,84,40,1
20,20,0,77,47,1
20,24,0,49,75,0
20,12,0,51,73,0
20,56,0,53,71,0
20,20,0,51,73,0
20,34,0,59,65,1
20,24,0,50,74,0
20,32,0,45,79,0
20,34,0,57,67,1
20,72,0,56,68,0
20,54,0,33,91,0
20,32,0,63,61,0
20,20,0,70,54,1
20,24,0,24,100,0
20,40,0,62,62,0
20,32,0,59,65,0
20,34,0,69,55,0
20,22,0,49,75,0
20,22,0,46,78,0
20,50,0,58,66,1
20,48,0,74,50,0
20,22,0,80,44,1
20,42,0,61,63,1
20,60,0,54,70,1
20,10,0,66,58,0
20,20,0,69,55,1
20,40,0,41,83,1
20,18,0,69,55,1
20,30,0,73,51,1
20,46,0,55,69,1
20,100,0,61,63,0
20,36,0,74,50,1
20,24,0,41,83,0
20,30,0,59,65,0
20,16,0,39,85,0
20,22,0,53,71,0
20,22,0,67,57,0
20,70,0,62,62,0
20,20,0,51,73,0
20,54,0,54,70,1
20,24,0,65,59,1
20,52,0,63,61,0
20,16,0,73,51,1
20,52,0,61,63,1
20,52,0,57,67,0
20,26,0,87,37,1
20,84,0,73,51,0
20,12,0,63,61,1
20,18,0,35,89,0
20,20,0,77,47,0
20,26,0,98,26,1
20,74,0,58,66,1
20,16,0,57,67,0
20,14,0,74,50,1
20,26,0,56,68,1
20,18,0,43,81,0
20,12,0,57,67,0
20,16,0,42,82,0
20,30,0,53,71,1
20,30,0,41,83,0
20,36,0,66,58,1
20,14,0,54,70,0
20,16,0,57,67,0
20,18,0,54,70,0
20,26,0,47,77,0
20,110,0,74,50,0
20,30,0,55,69,0
20,42,0,76,48,0
20,42,0,54,70,1
20,14,0,59,65,0
20,20,0,77,47,1
20,14,0,45,79,0
20,28,0,76,48,1
20,18,0,75,49,1
20,20,0,33,91,0
20,46,0,53,71,0
20,60,0,61,63,0
20,36,0,60,64,1
20,36,0,69,55,1
20,12,0,82,42,1
20,54,0,80,44,1
20,12,0,36,88,0
20,38,0,71,53,1
20,18,0,64,60,0
20,14,0,77,47,1
20,54,0,52,72,0
20,18,0,53,71,0
20,76,0,51,73,1
20,26,0,48,76,0
20,86,0,65,59,0
20,14,0,80,44,1
20,28,0,62,62,0
20,32,0,67,57,0
20,42,0,91,33,1
20,48,0,72,52,0
20,36,0,61,63,0
20,132,0,56,68,0
20,80,0,76,48,1
20,10,0,91,33,1
20,40,0,61,63,0
20,78,0,47,77,1
20,16,0,73,51,1
20,16,0,44,80,0
20,16,0,62,62,1
